メディア,名詞,動詞,形容詞,副詞,接続詞,接頭詞,助動詞,助詞,連体詞,記号
np,36.66,10.88,0.6,1.64,0.45,0.89,9.99,26.83,0.75,11.33
np,36.09,11.72,1.25,1.41,0,0.63,9.84,25.63,1.09,12.34
np,39,12.44,0.61,0.46,0.3,0.46,5.46,28.68,0.15,12.44
np,33.79,13.87,1.79,0.96,0.14,0.27,9.75,26.65,0.96,11.81
np,37.16,11.9,1.89,1.31,0.29,0.44,6.53,28.88,1.02,10.6
np,33.48,12.89,3.26,1.19,0.3,0,6.96,26.37,0.74,14.81
np,38.27,11.94,0.58,1.15,0.29,0.58,4.75,28.35,0.88,13.24
np,35.82,11.11,0.88,1.75,0.44,1.32,7.75,28.8,1.17,10.96
np,36.97,11.49,2.06,1.33,0.44,0.29,6.77,27.84,1.33,11.49
blog,33.1,11.72,6.9,0.69,0.69,0.34,8.97,26.55,0.34,10.69
blog,29.33,12.53,3.15,2.43,1.5,0.09,8.46,29.42,1.62,11.48
blog,26.16,13.36,4.27,1.52,0.66,0.38,11.75,24.93,0.57,16.4
blog,28.88,10.83,8.66,1.08,0.72,0,10.83,22.74,0.72,15.53
blog,33.57,14.69,3.5,1.75,0.7,2.8,5.25,20.28,0.7,16.78
blog,20.58,11.65,3.3,2.72,1.36,0,12.04,19.61,0.58,28.16
blog,29.11,12.28,5.07,4.01,1.87,1.74,9.75,23.36,1.07,11.75
blog,20.17,10,4.83,2.76,1.03,1.7,8.62,20.52,0.34,30
blog,29.61,13.09,3.25,1.76,1.03,0.26,7.54,24.79,0.7,17.92
blog,27.97,11.54,2.1,1.4,1.05,1.4,10.14,28.67,0.35,15.38
np,40.03,12.11,0.89,0.44,0.15,1.33,4.87,27.92,1.18,11.08
