ID,TOEIC,Oral_Rehearsal,Association,Extrinsic_Motivation,Intrinsic_Motivation,Time
1,390,2.7,3.7,3.33,3.17,6.92
2,360,4.3,3,3.33,3.17,5.83
3,410,2,2,2.67,2.5,2.36
4,390,3.3,2.7,4.67,4.83,4.36
5,365,3.7,1,3.67,4.5,3.78
6,415,4.3,2.7,4.33,3.5,6.55
7,415,3,2.7,4,2.67,4.56
8,340,2.7,1.7,4.33,2.83,4
9,370,3.3,3,4.33,3.67,4.73
10,360,1.3,1.7,4.33,2.5,4.5
11,410,3.3,2.7,4,4.17,8.3
12,430,4,2,4,4,8.58
13,340,3.3,3.3,3.67,3.67,4.9
14,305,3.7,2.3,3.33,3.83,7
15,380,1.7,2.3,4,4,6.92
16,390,3.7,1,3.67,3.33,5.18
17,300,2.7,1.7,3,2.5,3.73
18,370,3,3.7,3.33,1.83,6.2
19,315,2,2,2.67,2.67,3.22
20,370,3.3,2.3,4,4.17,4
21,315,2.7,3.3,3,3.33,2.75
22,385,3,2.7,4,2.83,7.25
23,405,4,3.3,4.33,3.17,2.56
24,380,5,1.7,5,4.17,5.6
25,355,1.3,2.3,4.33,4.83,6.36
26,310,1,2.3,4.67,2.83,3.18
27,345,5,4.3,3.67,2.5,5
28,390,3.3,4,5,5,4.83
29,340,1,1.7,4.67,3.33,5.75
30,365,1.3,2,3.33,3.17,6.42
