"","x"
"1",149.293759107819
"2",162.126238872139
"3",149.063286068565
"4",170.612364471367
"5",151.961707877349
"6",139.645058185267
"7",151.777986416329
"8",152.402177233784
"9",150.45735204441
"10",142.929699062919
"11",132.191351298129
"12",118.7232929768
"13",103.746397412581
"14",92.8029980883134
"15",122.907609529699
"16",107.682039250227
"17",114.524658093618
"18",126.139887109611
"19",126.355469928482
"20",122.325765139461
"21",129.653935043179
"22",131.934140042519
"23",126.671410057545
"24",101.629230092331
"25",131.271220531758
"26",121.222419420277
"27",119.574470586612
"28",108.67562654723
"29",119.142410942285
"30",128.765530595518
"31",140.738911016779
"32",132.908530539206
"33",134.840190327405
"34",123.109239842056
"35",114.0590829066
"36",121.358548000943
"37",122.278972075386
"38",121.622487728532
"39",137.321239918431
"40",132.648650523669
"41",125.718138718364
"42",118.261286515985
"43",130.874126982639
"44",123.1690030066
"45",107.381666321978
"46",109.771718020935
"47",117.513565302611
"48",122.588417047188
"49",118.059152041554
"50",125.929177873886
"51",118.269021980869
"52",108.343197859867
"53",120.437108100271
"54",111.421422849778
"55",130.96366378389
"56",138.327109772114
"57",119.765936352033
"58",110.003195771796
"59",123.11595279281
"60",118.333101798829
"61",144.346170978533
"62",121.040565486486
"63",132.804410810974
"64",123.498386378507
"65",122.838249468469
"66",135.484441465382
"67",117.43101316319
"68",142.209577943267
"69",134.738179718873
"70",158.090754086862
"71",126.408764507244
"72",105.842248685041
"73",122.315703187786
"74",105.141604419534
"75",98.4696005358431
"76",118.502204040166
"77",99.5522905879671
"78",115.030563998587
"79",112.457373668037
"80",114.23796193378
"81",110.675503521149
"82",107.206283292762
"83",126.163020637654
"84",97.0181078728873
"85",117.070414049067
"86",123.874463861382
"87",129.044820027555
"88",123.116357579927
"89",130.107929165527
"90",125.2604965389
"91",117.631122071387
"92",135.376107494379
"93",143.615078671113
"94",127.583655006987
"95",149.034217079397
"96",137.033298506235
"97",125.000484509918
"98",124.272013945471
"99",119.887993837237
"100",123.636346587814
"101",112.529001650912
"102",131.367223366938
"103",126.914202696502
"104",135.554975468439
"105",132.521643542017
"106",152.679970695493
"107",133.792072947652
"108",140.723277437234
"109",129.703153402517
"110",152.168522004641
