,ひめじ,宇都宮,ドクター・,田母神,鈴木,中川,ますぞえ,細川,マック,家入,ないとう,金子,五十嵐,酒向,松山,根上
　　千代田区,6.001,3303.998,373,4082,44,18,9106,5054,113,499,18,7,16,7,11,20
　　中央区,21.002,8430.997,872,8980,76,44,23161,11130,200,1527,26,25,32,6,26,43
　　港区,47,12968,1073,12738,133,46,34808,19792,334,2515,23,53,47,32,31,16
　　新宿区,60.005,23910.994,1528,17484,237,61,47568,23949,405,2928,57,71,83,31,42,30
　　文京区,46.002,19094.997,1294,12683,220,39,35767,19416,301,2092,61,77,64,37,32,26
　　台東区,25,12873,1137,10603,169,57,30465,13654,272,1466,56,73,101,19,27,28
　　墨田区,63.003,16661.996,1400,12785,214,48,43318,15805,344,1683,55,72,68,25,107,52
　　江東区,155.017,34553.982,2733,24372,397,169,85994,30676,602,3238,133,138,154,62,82,48
　　品川区,174.006,27925.993,2052,20133,273,114,61078,27334,473,3297,123,90,183,67,79,67
　　目黒区,77,20414,1558,14147,284,159,42350,23912,331,3360,62,46,59,22,53,31
　　大田区,132.01,50940.989,3447,35915,958,340,117563,47426,734,4351,191,221,191,42,84,89
　　世田谷区,260.003,70486.996,4825,43762,815,210,140522,78097,1164,8753,214,164,196,74,176,97
　　渋谷区,40,16343,1250,11315,201,42,31433,19646,307,3103,45,45,45,7,43,23
　　中野区,73.005,26345.994,1690,17289,335,187,47958,24510,470,2840,82,65,89,25,92,53
　　杉並区,146,50323,2838,28917,772,107,84583,48614,745,5358,149,88,196,52,150,69
　　豊島区,110.005,20451.994,1450,14479,213,41,40212,19649,378,2286,70,74,64,23,55,36
　　北区,163.005,29223.994,1909,16605,329,57,58526,23332,467,2136,106,117,104,47,78,65
　　荒川区,38,13987,996,9486,192,176,33632,12414,258,1064,56,37,54,12,33,22
　　板橋区,147.01,42145.989,2724,24836,507,158,87650,36069,666,3131,170,135,190,59,120,86
　　練馬区,293.01,55917.989,3656,35023,714,326,115295,54756,810,4735,188,156,191,64,171,81
　　足立区,159.027,40957.972,2944,25561,533,304,107352,35381,635,2781,161,186,207,45,176,207
　　葛飾区,95.013,28493.986,1988,17521,412,140,69631,24206,425,1960,126,220,152,27,91,43
　　江戸川区,174.02,34319.979,3147,27452,609,227,100423,33339,599,3051,181,158,142,78,178,78
